firm,aum_usd,city,website,stages,partner_scrape_status,priority,notes
Greylock,425000000,Menlo Park,greylock.com,seed/seed+,covered,1,
Sutter Hill Ventures,400000000,Palo Alto,shv.com,seed+,gap-rec,2,Top-tier; not in user's AUM list but should be
Congruent Ventures,375000000,San Francisco,congruentvc.com,seed,gap-rec,3,Climate
Icon Ventures,375000000,Palo Alto,iconventures.com,seed+,gap-rec,3,
Sway Ventures,370000000,San Francisco,swayvc.com,seed+,gap-rec,3,
Zetta Venture Partners,360000000,San Francisco,zettavp.com,seed,gap-rec,3,AI/data
Basis Set Ventures,335000000,San Francisco,basisset.ventures,seed,gap-rec,2,
Audacious Ventures,325000000,San Francisco,audacious.co,seed,gap-rec,2,
OpenAI Startup Fund,323000000,San Francisco,,seed+,gap-rec,2,Sam Altman / Ian Hathaway
Commerce Ventures,311000000,San Francisco,commercevc.com,seed,gap-rec,3,Fintech/payments
Heavybit,310000000,San Francisco,heavybit.com,seed,gap-rec,3,Dev tools
Freestyle Capital,310000000,Mill Valley,freestyle.vc,seed,gap-rec,2,
Amity Ventures,307000000,San Francisco,amity.vc,seed,gap-rec,3,
Bullpen Capital,302000000,Menlo Park,bullpencap.com,seed+,gap-rec,3,
Y Combinator,500000,San Francisco,ycombinator.com,seed,gap-rec,4,Accelerator + fund — partners not typical $500K-firm-check
SignalFire,(not listed),San Francisco,signalfire.com,seed/Series A,gap-fill-running,1,
Cowboy Ventures,127500000,Palo Alto,cowboy.vc,seed,gap-fill-running,1,Aileen Lee
