name,role_or_company,sf_based,angel_activity_signal,linkedin_or_source_url,notes
Arati Sharma,Former Director Marketing Shopify / Good Future,N,Co-founder Backbone Angels; runs Good Future family office with Satish Kanwar,https://www.theglobeandmail.com/business/article-female-shopify-executives-launch-angel-investing-group-backbone-angels/,Toronto-based
Marcie Murray,Former Director Support Shopify / Backbone Angels,?,Co-founder Backbone Angels,https://www.backboneangels.com/investors,Canada-based
Erin Zipes,Former VP Asst GC Shopify / Backbone Angels,?,Founding partner Backbone Angels,https://www.backboneangels.com/investors,Likely Canada
Konval Matin,Former Director Culture Shopify / Backbone Angels,?,Founding partner Backbone Angels,https://www.backboneangels.com/investors,Likely Canada
Satish Kanwar,Former VP Product Shopify / Good Future,N,"Active angel; family office Good Future; backed Disco, Roach Capital",https://pitchbook.com/profiles/investor/110204-47,Toronto; commerce/SaaS focus
Larry Gadea,Founder Envoy / ex-Shopify,Y,Founder of Envoy ($170M raised); invests as angel via personal portfolio,https://techcrunch.com/2021/05/13/shopify-helps-customers-build-online-shops-but-its-minting-tech-founders-and-investors-too/,SF-based; high-profile target -- angel activity unverified at scale
Matt Mullenweg,CEO Automattic / Founder Audrey Capital,N,"Audrey Capital portfolio incl. SpaceX, Sonos, Calm, Telegram, Ring, MakerBot, Pointy",https://audrey.co/,Houston-based; nomadic; one of the most prolific WP-ecosystem angels
Toni Schneider,Former CEO Automattic / True Ventures Partner,Y,True Ventures partner (institutional); active angel adjacent activity,https://trueventures.com/team/toni-schneider/,SF Bay Area; institutional investor but writes personal checks
Naveen Selvadurai,Co-founder Foursquare / Audrey Capital co-founder,?,"Co-founded Audrey Capital with Mullenweg; angel portfolio incl. Mattermark, Timehop exit",https://www.cbinsights.com/investor/naveen-selvadurai,NYC primarily; tied into Automattic ecosystem
Dharmesh Shah,Co-founder & CTO HubSpot,N,"100+ angel investments; checks up to $50K; recent: Willow, Mem0, Composio, Recraft, Appcues",https://www.linkedin.com/posts/dharmesh_ive-made-over-100-startup-investments-over-activity-7216479151879323648-JsUy,Boston-based; strongest HubSpot-network angel target
Brian Halligan,Co-founder HubSpot / Sequoia / Propeller Ventures,N,"Sequoia partner; co-launched $100M Propeller Ventures climate fund (2022)",https://www.hubspot.com/company/management/brian-halligan,Boston; institutional now but writes select angel checks
Mike Volpe,Former CMO HubSpot / Operator.VC co-founder,N,"75+ angel investments via Operator.VC and personal; 4 exits; not making new investments per his site",https://www.mikevolpe.com,Boston; ~retired from new angel checks but strong advisor target
Yoav Shapira,Former Head of Eng HubSpot / Stage 2 Capital,N,Co-founded Operator.VC with Volpe; principal at Stage 2 Capital,https://www.stage2.capital/team/yoav-shapira,Boston; SaaS go-to-market focus
Inbound Angels Syndicate,HubSpot alumni syndicate,N,"AngelList syndicate of HubSpot leaders; SaaS, marketplace seed-growth focus",https://venture.angellist.com/hs-angels/syndicate,Boston-anchored; single doorway into many HubSpot alumni checks
Marc Benioff,CEO & Co-founder Salesforce,Y,"Angel investor in 102 startups per Crunchbase; rarely solos seed but does strategic checks",https://www.crunchbase.com/organization/salesforce,SF-based; ultra-high-profile
Parker Harris,Co-founder & EVP Salesforce,Y,Founder profile; angel activity unverified at scale -- high-profile target,https://www.crunchbase.com/person/parker-harris,SF Bay Area; strategic intro target
Bret Taylor,Former Co-CEO Salesforce / CEO Sierra / OpenAI Chair,Y,"4 angel investments incl. Browser Company, Socket; runs Sierra ($10B AI startup)",https://pitchbook.com/profiles/investor/343303-57,SF Bay Area; AI-heavy
David Schmaier,President & CSO Salesforce / Founder Vlocity,Y,"Active angel; recent investments in Linkd, AppMesh (Nov 2025)",https://pitchbook.com/profiles/investor/178321-42,SF Bay Area; B2B SaaS focus
Magdalena Yesil,First investor & founding board Salesforce / Broadway Angels,Y,"Broadway Angels founder; 30+ investments; boards Smartsheet, Zuora, SoFi",https://www.broadway-angels.com/magdalena-yesil-bio,SF; one of THE Salesforce-network angel targets
Frank van Veenendaal,Former Vice Chairman Salesforce,Y,"Board director at ServiceMax, Onfido, Room To Read; advises Salesforce Ventures",https://www.crunchbase.com/person/frank-van-veenendaal,SF Bay Area; high-profile target -- direct angel checks unverified
Dave Moellenhoff,Co-founder & former CTO Salesforce,?,"1 confirmed angel check (Cloudwords 2011); high-profile target -- broader angel activity unverified",https://pitchbook.com/profiles/investor/234078-85,Bozeman MT now; founder profile still strategic
Kraig Swensrud,Former CMO Salesforce / Founder Qualified,Y,"Founder/CEO Qualified (acquired by Salesforce 2026); high-profile target -- angel activity unverified",https://www.linkedin.com/in/kraigswensrud,SF; Salesforce-ecosystem GTM expertise
Aaron Levie,Co-founder & CEO Box,Y,"65 angel investments; checks $5K-$50K; 8 unicorns incl. Remote, Forward; Salesforce-adjacent",https://www.crunchbase.com/person/aaron-levie,SF Bay Area; enterprise/SaaS specialist; not Salesforce alum but in core network
Jeff Lawson,Co-founder & former CEO Twilio,Y,12 angel investments per Crunchbase; deep SaaS/dev-tools network,https://www.cbinsights.com/investor/jeff-lawson,SF; Salesforce-adjacent (Twilio integrates deeply)
Rob Hayes,Partner First Round Capital,Y,"Led First Round investments in Uber, Square, Mint, Eero; angel-style early checks",https://www.firstround.com/team/board-partners/rob-hayes,SF; institutional but seeds at angel ticket sizes
